Song Title,Song Artist,Beat,BPM,Source,Genre
Wish you were here/comfortably numb,Pink Floyd,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,60,Default Library,Rock
Yellow Ledbetter,Pearl Jam,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,71,Default Library,Rock
You Can't Always Get What You Want,Rolling Stones,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,82,Default Library,Rock
You Don't Know How It Feels,Tom Petty,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,72,Default Library,Rock
You Wreck Me,Tom Petty,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,160,Default Library,Rock
Back in Black,AC DC,Beat Buddy: Back in Black,94,Premium Library,Rock
Big Gun,AC DC,Beat Buddy: Big Gun,134,Premium Library,Rock
Dirty Deeds Done Dirt Cheap,AC DC,Beat Buddy: Dirty Deeds Done Dirt Cheap,136,Premium Library,Rock
Hell's Bells,AC DC,Beat Buddy: Hell's Bells,107,Premium Library,Rock
Highway to Hell,AC DC,Beat Buddy: Highway to Hell,116,Premium Library,Rock
Its a Long Way to the Top,AC DC,Beat Buddy: Its a long way to the top,136,Premium Library,Rock
Moneytalks,AC DC,Beat Buddy: Moneytalks,122,Premium Library,Rock
Shoot to Thrill,AC DC,Beat Buddy: Shoot to Thrill,141,Premium Library,Rock
Stiff Upper Lip,AC DC,Beat Buddy: Sitff Upper Lip,124,Premium Library,Rock
T.N.T,AC DC,Beat Buddy: T.N.T,126,Premium Library,Rock
Thunderstruck,AC DC,Beat Buddy: Thunderstruck,133,Premium Library,Rock
You Shook Me All Night Long,AC DC,Beat Buddy: You Shook Me All Night Long,127,Premium Library,Rock
An Innocent Man,Billy Joel,Beat Buddy: An Innocent Man,106,Premium Library,Rock
Just the Way You Are,Billy Joel,Beat Buddy: Just the Way You Are,70,Premium Library,Rock
Movin Out,Billy Joel,Beat Buddy: Movin out,68,Premium Library,Rock
My Life,Billy Joel,Beat Buddy: My Life,131,Premium Library,Rock
New York State of Mind,Billy Joel,Beat Buddy: New York State of Mind,122,Premium Library,Rock
Piano Man,Billy Joel,Beat Buddy: Piano Man,179,Premium Library,Rock
Scenes From An Italian Restaurant,Billy Joel,Beat Buddy: Scenes From An Italian Restaurant,98,Premium Library,Rock
The River of Dreams,Billy Joel,Beat Buddy: The River of Dreams,90,Premium Library,Rock
To Make You Feel My Love,Billy Joel,Beat Buddy: To Make You Feel My Love,69,Premium Library,Rock
Uptown Girl,Billy Joel,Beat Buddy: Uptown Girl,130,Premium Library,Rock
You May Be Right,Billy Joel,Beat Buddy: You Maybe Right,151,Premium Library,Rock
Adventure Of A Lifetime,Coldplay,Beat Buddy: Adventure Of A Lifetime,112,Premium Library,Rock
Clocks,Coldplay,Beat Buddy: Clocks,131,Premium Library,Rock
Don't Panic,Coldplay,Beat Buddy: Don't Panic,122,Premium Library,Rock
God Put A Smile Upon Your Face,Coldplay,Beat Buddy: God Put A Smile Upon Your Face,127,Premium Library,Rock
Fix You,Coldplay,Beat Buddy: Fix You,138,Premium Library,Rock
In My Place,Coldplay,Beat Buddy: In My Place,145,Premium Library,Rock
Paradise,Coldplay,Beat Buddy: Paradise,140,Premium Library,Rock
Speed of Sound,Coldplay,Beat Buddy: Speed of Sound,123,Premium Library,Rock
Talk,Coldplay,Beat Buddy: Talk,120,Premium Library,Rock
The Hardest Part,Coldplay,Beat Buddy: The Hardest Part,124,Premium Library,Rock
The Scientist,Coldplay,Beat Buddy: The Scientist,74,Premium Library,Rock
Trouble,Coldplay,Beat Buddy: Trouble,70,Premium Library,Rock
What If,Coldplay,Beat Buddy: What If,69,Premium Library,Rock
X&Y,Coldplay,Beat Buddy: X&Y,77,Premium Library,Rock
Yellow,Coldplay,Beat Buddy: Yellow,174,Premium Library,Rock
Bad Moon Rising,Creedence Clearwater Revival,Beat Buddy: Bad Moon Rising,179,Premium Library,Rock
Born on the Bayou,Creedence Clearwater Revival,Beat Buddy: Born on the Bayou,117,Premium Library,Rock
Down on the Corner,Creedence Clearwater Revival,Beat Buddy: Down on the Corner,108,Premium Library,Rock
Fortunate son,Creedence Clearwater Revival,Beat Buddy: Fortunate Son,133,Premium Library,Rock
Have You Ever Seen The Rain?,Creedence Clearwater Revival,Beat Buddy: Have You Ever Seen The Rain?,116,Premium Library,Rock
I Heard It Through The Grapevine,Creedence Clearwater Revival,Beat Buddy: I Heard It Through The Grapevine,118,Premium Library,Rock
Proud Mary,Creedence Clearwater Revival,Beat Buddy: Proud Mary,122,Premium Library,Rock
Run Through The Jungle,Creedence Clearwater Revival,Beat Buddy: Run Through The Jungle,137,Premium Library,Rock
Suzie Q,Creedence Clearwater Revival,Beat Buddy: Suzie Q,127,Premium Library,Rock
Bennie & the Jets,Elton John,Beat Buddy: Bennie & the Jets,133,Premium Library,Rock
Crocodile Rock,Elton John,Beat Buddy: Crocodile Rock,150,Premium Library,Rock
Daniel,Elton John,Beat Buddy: Daniel,132,Premium Library,Rock
Good-bye Yellow Brick Road,Elton John,Beat Buddy: Good-bye Yellow Brick Road,62,Premium Library,Ballad
I guess that's why they call it blues,Elton John,Beat Buddy: I guess that's why they call it blues,120,Premium Library,Blues
Little Jeanie,Elton John,Beat Buddy: Little Jeanie,74,Premium Library,Rock
Rocket Man,Elton John,Beat Buddy: Rocket Man,137,Premium Library,Rock
Tiny Dancer,Elton John,Beat Buddy: Tiny Dancer,145,Premium Library,Ballad
Tiny Dancer,Elton John,Beat Buddy: Your Song,128,Premium Library,Ballad
After Midnight,Eric Clapton,Beat Buddy: After Midnight,127,Premium Library,Rock
Bad Love,Eric Clapton,Beat Buddy: Bad Love,125,Premium Library,Rock
Badge,Eric Clapton,Beat Buddy: Badge,109,Premium Library,Rock
Change The World,Eric Clapton,Beat Buddy: Change The World,97,Premium Library,Rock
Cocine,Eric Clapton,Beat Buddy: Cocaine,105,Premium Library,Rock
Crossroads,Eric Clapton,Beat Buddy: Crossroads,103,Premium Library,Rock
I can't stand it,Eric Clapton,Beat Buddy: I can't stand it,120,Premium Library,Rock
I Looked Away,Eric Clapton,Beat Buddy: I Looked Away,118,Premium Library,Rock
I Shot The Sheriff,Eric Clapton,Beat Buddy: I Shot The Sheriff,94,Premium Library,Rock
Layla,Eric Clapton,Beat Buddy: Layla,116,Premium Library,Rock
Lay Down Sally,Eric Clapton,Beat Buddy: Lay Down Sally,192,Premium Library,Country
Pretending,Eric Clapton,Beat Buddy: Pretending,98,Premium Library,Rock
Sunshine Of Your Love,Cream,Beat Buddy: Sunshine Of Your Love,115,Premium Library,Blues
Tears In Heaven,Eric Clapton,Beat Buddy: Tears In Heaven,154,Premium Library,Ballad
White Room,Cream,Beat Buddy: White Room,110,Premium Library,Rock
Wonderful Tonight,Eric Clapton,Beat Buddy: Wonderful Tonight,96,Premium Library,Ballad
Civil War,Guns N' Roses,Beat Buddy: Civil War,140,Premium Library,Rock
Dont Cry,Guns N' Roses,Beat Buddy: Dont Cry,125,Premium Library,Rock
Knockin' on heaven's door,Guns N' Roses,Beat Buddy: Knockin' on heaven's door,65,Premium Library,Rock
Mr Brownstone,Guns N' Roses,Beat Buddy: Mr Brownstone,106,Premium Library,Rock
November Rain,Guns N' Roses,Beat Buddy: November Rain,78,Premium Library,Rock
Paradise City,Guns N' Roses,Beat Buddy: Paradise City,100,Premium Library,Rock
Sweet Child Of Mine,Guns N' Roses,Beat Buddy: Sweet Child Of Mine,125,Premium Library,Rock
Welcome To The Jungle,Guns N' Roses,Beat Buddy: Welcome To The Jungle,125,Premium Library,Rock
Yesterdays,Guns N' Roses,Beat Buddy: Yesterdays,85,Premium Library,Rock
You Could Be Mine,Guns N' Roses,Beat Buddy: You Could Be Mine,151,Premium Library,Rock
Little Wing,Jimi Hendrix,Beat Buddy: Little Wing,72,Premium Library,Rock
Voodoo Child,Jimi Hendrix,Beat Buddy: Voodoo Child,86,Premium Library,Rock
Purple Haze,Jimi Hendrix,Beat Buddy: Purple Haze,109,Premium Library,Rock
Hey Joe,Jimi Hendrix,Beat Buddy: Hey Joe,83,Premium Library,Blues
All Along The Watchtower,Jimi Hendrix,Beat Buddy: All Along The Watchtower,113,Premium Library,Rock
Castles Made Of Sand,Jimi Hendrix,Beat Buddy: Castles Made Of Sand,94,Premium Library,Rock
The Wind Cries Mary,Jimi Hendrix,Beat Buddy: The Wind Cries Mary,80,Premium Library,Rock
Crosstown Traffic,Jimi Hendrix,Beat Buddy: Crosstown Traffic,113,Premium Library,Rock
Bold As Love,Jimi Hendrix,Beat Buddy: Bold As Love,71,Premium Library,Rock
Red House,Jimi Hendrix,Beat Buddy: Red House,64,Premium Library,Blues
All My Love,Led Zeppelin,Beat Buddy: All My love,91,Premium Library,Rock
Black Dog,Led Zeppelin,Beat Buddy: Black Dog,83,Premium Library,Rock
Babe I'm gonna leave you,Led Zeppelin,Beat Buddy: Babe I'm gonna leave you,134,Premium Library,Rock
Communication Breakdown,Led Zeppelin,Beat Buddy: Communication Breakdown,175,Premium Library,Rock
Dancing Days,Led Zeppelin,Beat Buddy: Dancing Days,117,Premium Library,Rock
Fool In The Rain,Led Zeppelin,Beat Buddy: Fool In The Rain,130,Premium Library,Rock
Good Times Bad Times,Led Zeppelin,Beat Buddy: Good Times Bad Times,94,Premium Library,Rock
Heartbreaker,Led Zeppelin,Beat Buddy: Heartbreaker,97,Premium Library,Rock
Houses Of The Holy,Led Zeppelin,Beat Buddy: Houses Of The Holy,122,Default Library,Rock
Immigrant Song,Led Zeppelin,Beat Buddy: Immigrant Song,113,Premium Library,Rock
In The Evening,Led Zeppelin,Beat Buddy: In The Evening,103,Premium Library,Rock
Kashmir,Led Zeppelin,Beat Buddy: Kashmir,80,Premium Library,Rock
Living Loving Maid,Led Zeppelin,Beat Buddy: Living Loving Maid,151,Premium Library,Rock
Moby Dick,Led Zeppelin,Beat Buddy: Moby Dick,186,Premium Library,Rock
No Quarter,Led Zeppelin,Beat Buddy: No Quarter,73,Premium Library,Rock
Over The Hills And Far Away,Led Zeppelin,Beat Buddy: Over The Hills And Far Away,97,Premium Library,Rock
Ramble On,Led Zeppelin,Beat Buddy: Ramble On,99,Premium Library,Rock
Stairway To Heaven,Led Zeppelin,Beat Buddy: Stairway To Heaven,82,Premium Library,Rock
The Song Remains The Same,Led Zeppelin,Beat Buddy: The Song Remains The Same,144,Premium Library,Rock
When Levee Breaks,Led Zeppelin,Beat Buddy: When Levee Breaks,142,Premium Library,Rock
Whole Lotta Love,Led Zeppelin,Beat Buddy: Whole Lotta Love,90,Premium Library,Rock
Battery,Metallica,Beat Buddy: Battery,97,Premium Library,Rock
Creeping Death,Metallica,Beat Buddy: Creeping Death,100,Premium Library,Rock
Enter Sandman,Metallica,Beat Buddy: Enter Sandman,123,Premium Library,Rock
For Whom The Bell Tolls,Metallica,Beat Buddy: For Whom The Bell Tolls,118,Premium Library,Rock
Master of Pupppets,Metallica,Beat Buddy: Master of Puppets,105,Premium Library,Rock
Nothing Else Matters,Metallica,Beat Buddy: Nothing Else Matter,143,Premium Library,Rock
One,Metallica,Beat Buddy: One,103,Premium Library,Rock
The Unforgiven,Metallica,Beat Buddy: The Unforgiven,70,Premium Library,Rock
Sad but True,Metallica,Beat Buddy: Sad but True,89,Premium Library,Rock
Wherever I May Roam,Metallica,Beat Buddy: Where I May Roam,131,Premium Library,Rock
Bad,Michael Jackson,Beat Buddy: Bad,114,Premium Library,Pop
Beat it,Michael Jackson,Beat Buddy: Beat it,139,Premium Library,Pop
Billie Jean,Michael Jackson,Beat Buddy: Billie Jean,117,Premium Library,Pop
Blame it on the Boogie,Michael Jackson,Beat Buddy: Blame it on the Boogie,113,Premium Library,Pop
Don't stop until you get enough,Michael Jackson,Beat Buddy: Don't stop until you get enough,115,Premium Library,Pop
Love Never Felt So Good,Michael Jackson,Beat Buddy: Love Never Felt So Good,117,Premium Library,Pop
Rock With You,Michael Jackson,Beat Buddy: Rock With You,114,Premium Library,Pop
Smooth Criminal,Michael Jackson,Beat Buddy: Smooth Criminal,118,Premium Library,Pop
The Way You Make Me Feel,Michael Jackson,Beat Buddy: The Way You Make Me Feel,114,Premium Library,Pop
Wanna Be Startin' Somethin',Michael Jackson,Beat Buddy: Wanna Be Startin' Somethin',122,Premium Library,Pop
Cinnamon Girl,Neil Young,Beat Buddy: Cinnamon Girl,104,Premium Library,Rock
Cowgirl In The Sand,Neil Young,Beat Buddy: Cowgirl In The Sand,172,Premium Library,Rock
Down By The River,Neil Young,Beat Buddy: Down By The River,164,Premium Library,Rock
Harvest Moon,Neil Young,Beat Buddy: Harvest Moon,113,Premium Library,Rock
Heart Of Gold,Neil Young,Beat Buddy: Heart Of Gold,171,Premium Library,Rock
Helpless,Neil Young,Beat Buddy: Helpless,97,Premium Library,Ballad
Old Man,Neil Young,Beat Buddy: Old Man,141,Premium Library,Rock
On The Beach,Neil Young,Beat Buddy: On The Beach,114,Premium Library,Rock
Only Love Can Break Your Heart,Neil Young,Beat Buddy: Only Love Can Break Your Heart,111,Premium Library,Rock
Rockin' in a free world,Neil Young,Beat Buddy: Rockin' in a free world,132,Premium Library,Rock
About A Girl (*MTV Unplugged version),Nirvana,Beat Buddy: About A Girl (*MTV Unplugged version),122,Premium Library,Rock
All Apologies,Nirvana,Beat Buddy: All Apologies,113,Premium Library,Rock
Breed,Nirvana,Beat Buddy: Breed,159,Premium Library,Rock
Come as You are,Nirvana,Beat Buddy: Come as You are,120,Premium Library,Rock
Dumb,Nirvana,Beat Buddy: Dumb,114,Premium Library,Rock
Heart-Shaped Box,Nirvana,Beat Buddy: Heart-Shaped Box,102,Premium Library,Rock
In Bloom,Nirvana,Beat Buddy: In Bloom,79,Premium Library,Rock
Lithium,Nirvana,Beat Buddy: Lithium,123,Premium Library,Rock
Rape Me,Nirvana,Beat Buddy: Rape Me,112,Premium Library,Rock
Sliver,Nirvana,Beat Buddy: Sliver,141,Premium Library,Rock
Smells Like Teen Spirit,Nirvana,Beat Buddy: Smells Like Teen Spirit,117,Premium Library,Rock
Alive,Pearl Jam,Beat Buddy: Alive,75,Premium Library,Rock
Better Man,Pearl Jam,Beat Buddy: Better Man,126,Premium Library,Rock
Black,Pearl Jam,Beat Buddy: Black,77,Premium Library,Rock
Corduroy,Pearl Jam,Beat Buddy: Corduroy,131,Premium Library,Rock
Daughter,Pearl Jam,Beat Buddy: Daughter,74,Premium Library,Rock
Even Flow,Pearl Jam,Beat Buddy: Even Flow,105,Premium Library,Rock
Given To Fly,Pearl Jam,Beat Buddy: Given To Fly,101,Premium Library,Rock
Jeremy,Pearl Jam,Beat Buddy: Jeremy,94,Premium Library,Rock
Rearviewmirror,Pearl Jam,Beat Buddy: Another Brick In The Wall,159,Premium Library,Rock
Another Brick In The Wall,Pink Floyd,Beat Buddy: Another Brick In The Wall,99,Premium Library,Rock
Brain Damage,Pink Floyd,Beat Buddy: Brain Damage,134,Premium Library,Rock
Breathe (In The Air),Pink Floyd,Beat Buddy: Breathe (In The Air),128,Premium Library,Rock
Have A Cigar,Pink Floyd,Beat Buddy: Have A Cigar,120,Premium Library,Rock
Money,Pink Floyd,Beat Buddy: Money,124,Premium Library,Rock
On The Turning Away,Pink Floyd,Beat Buddy: On The Turning Away,100,Premium Library,Rock
Run Like Hell,Pink Floyd,Beat Buddy: Run Like Hell,117,Premium Library,Rock
Shine On You Crazy Diamond,Pink Floyd,Beat Buddy: Shine On You Crazy Diamond,136,Premium Library,Rock
Time,Pink Floyd,Beat Buddy: Time,120,Premium Library,Rock
Welcome To The Machine,Pink Floyd,Beat Buddy: Welcome To The Machine,133,Premium Library,Rock
Wish You Were Here,Pink Floyd,Beat Buddy: Wish You Were Here,123,Premium Library,Rock
1999,Prince,Beat Buddy: 1999,119,Premium Library,Pop
Cream,Prince,Beat Buddy: Cream,116,Premium Library,Pop
Diamonds And Pearls,Prince,Beat Buddy: Diamonds And Pearls,81,Premium Library,Pop
I Wanna Be Your Lover,Prince,Beat Buddy: I Wanna Be Your Lover,115,Premium Library,Pop
Kiss,Prince,Beat Buddy: Kiss,111,Premium Library,Pop
Purple Rain,Prince,Beat Buddy: Purple Rain,113,Premium Library,Ballad
Raspberry Beret,Prince,Beat Buddy: Raspberry Beret,121,Premium Library,Pop
7,Prince,Beat Buddy: 7,100,Premium Library,Pop
The Beautiful Ones,Prince,Beat Buddy: The Beautiful Ones,143,Premium Library,Pop
When Doves Cry,Prince,Beat Buddy: When Doves Cry,126,Premium Library,Pop
Aeroplane,Red Hot Chili Peppers,Beat Buddy: Aeroplane,101,Premium Library,Rock
Breaking The Girl,Red Hot Chili Peppers,Beat Buddy: Breaking The Girl,178,Premium Library,Rock
Californication,Red Hot Chili Peppers,Beat Buddy: Californication,96,Premium Library,Rock
Can't stop,Red Hot Chili Peppers,Beat Buddy: Can't Stop,91,Premium Library,Rock
Give It Away,Red Hot Chili Peppers,Beat Buddy: Give It Away,92,Premium Library,Rock
Otherside,Red Hot Chili Peppers,Beat Buddy: Otherside,123,Premium Library,Rock
Scar Tissue,Red Hot Chili Peppers,Beat Buddy: Scar Tissue,89,Premium Library,Rock
Snow,Red Hot Chili Peppers,Beat Buddy: Snow,104,Premium Library,Rock
Soul To Squeeze,Red Hot Chili Peppers,Beat Buddy: Soul To Squeeze,88,Premium Library,Rock
Under The Bridge,Red Hot Chili Peppers,Beat Buddy: Under The Bridge,84,Premium Library,Rock
Black Magic Woman,Santana,Beat Buddy: Black Magic Woman,124,Premium Library,Funk
Corazon Espinado,Santana,Beat Buddy: Corazon Espinado,120,Premium Library,Rock
Europa,Santana,Beat Buddy: Europa,75,Premium Library,Rock
Evil Ways,Santana,Beat Buddy: Evil Ways,117,Premium Library,Rock
Game Of Love,Santana,Beat Buddy: Game Of Love,120,Premium Library,Rock
Maria Maria,Santana,Beat Buddy: Maria Maria,98,Premium Library,Funk
Oye Como Va,Santana,Beat Buddy: Oye Como Va,128,Premium Library,Rock
Samba Pa Ti,Santana,Beat Buddy: Samba Pa Ti,92,Premium Library,Funk
She's not there,Santana,Beat Buddy: She's not there,130,Premium Library,Rock
Smooth,Santana,Beat Buddy: Smooth,116,Premium Library,Rock
Black Hole Sun,SoundGarden,Beat Buddy: Black Hole Sun,105,Premium Library,Rock
Blow Up The Outside World,SoundGarden,Beat Buddy: Blow Up The Outside World,140,Premium Library,Rock
Burden In My Hand,SoundGarden,Beat Buddy: Burden In My Hand,183,Premium Library,Rock
Fell On Black Days,SoundGarden,Beat Buddy: Fell On Black Days,101,Premium Library,Rock
Jesus Christ Pose,SoundGarden,Beat Buddy: Jesus Christ Pose,135,Premium Library,Rock
Outshined,SoundGarden,Beat Buddy: Outshined,189,Premium Library,Rock
Pretty Noose,SoundGarden,Beat Buddy: Pretty Noose,151,Premium Library,Rock
Rusty Cage,SoundGarden,Beat Buddy: Rusty Cage,102,Premium Library,Rock
Spoonman,SoundGarden,Beat Buddy: Spoonman,186,Premium Library,Rock
The Day I Tried To Live,SoundGarden,Beat Buddy: The Day I Tried To Live,133,Premium Library,Rock
Babylon Sisters,Steely Dan,Beat Buddy: Babylon Sisters,61,Premium Library,Funk
Deacon Blues,Steely Dan,Beat Buddy: Deacon Blues,116,Premium Library,Blues
Do It Again,Steely Dan,Beat Buddy: Do It Again,125,Premium Library,Blues
Hey Nineteen,Steely Dan,Beat Buddy: Hey Nineteen,120,Premium Library,Funk
Home At Last,Steely Dan,Beat Buddy: Home At Last,128,Premium Library,Blues
Josie,Steely Dan,Beat Buddy: Josie,122,Premium Library,Funk
Kid Charlemagne,Steely Dan,Beat Buddy: Kid Charlemagne,97,Premium Library,Funk
Peg,Steely Dan,Beat Buddy: Peg,117,Premium Library,Funk
Reelin' In The Years,Steely Dan,Beat Buddy: Reelin' In The Years,135,Premium Library,Blues
Rikki Don't Lose That Number,Steely Dan,Beat Buddy: Rikki Don't Lose That Number,116,Premium Library,Blues
Ebony And Ivory,Stevie Wonder,Beat Buddy: Ebony And Ivory,81,Premium Library,Pop
Higher Ground,Stevie Wonder,Beat Buddy: Higher Ground,125,Premium Library,Funk
I Believe,Stevie Wonder,Beat Buddy: I Believe,124,Premium Library,Rock
I Just Called To Say I Love You,Stevie Wonder,Beat Buddy: I Just Called To Say I Love You,114,Premium Library,Pop
Living For The City,Stevie Wonder,Beat Buddy: Living For The City,98,Premium Library,Funk
Overjoyed,Stevie Wonder,Beat Buddy: Overjoyed,83,Premium Library,Ballad
Part Time Lover,Stevie Wonder,Beat Buddy: Part Time Lover,175,Premium Library,Pop
Sir Duke,Stevie Wonder,Beat Buddy: Sir Duke,107,Premium Library,Funk
Superstition,Stevie Wonder,Beat Buddy: Superstition,100,Premium Library,Funk
You Are The Sunshine Of My Life,Stevie Wonder,Beat Buddy: You Are The Sunshine Of My Life,132,Premium Library,Ballad
All This Time,Sting,Beat Buddy: All This Time,127,Premium Library,Rock
Englishman In NY,Sting,Beat Buddy: Englishman In NY,100,Premium Library,Funk
Fields Of Gold,Sting,Beat Buddy: Fields Of Gold,104,Premium Library,Ballad
Fortress Around Your Heart,Sting,Beat Buddy: Fortress Around Your Heart,121,Premium Library,Rock
Fragile,Sting,Beat Buddy: Fragile,85,Premium Library,Ballad
If I Ever Lose My Faith In You,Sting,Beat Buddy: If I Ever Lose My Faith In You,98,Premium Library,Rock
It's Probably Me,Sting,Beat Buddy: It's Probably Me,92,Premium Library,Rock
Seven Days,Sting,Beat Buddy: Seven Days,92,Premium Library,Rock
Shape Of My Heart,Sting,Beat Buddy: Shape Of My Heart,84,Premium Library,Ballad
When We Dance,Sting,Beat Buddy: When We Dance,84,Premium Library,Ballad
I Want To Hold Your Hand,The Beatles,Beat Buddy: I Want To Hold Your Hand,131,Premium Library,Rock
She Loves You,The Beatles,Beat Buddy: She Loves You,76,Premium Library,Rock
Get Back,The Beatles,Beat Buddy: Get Back,123,Premium Library,Blues
A hard day's night,The Beatles,Beat Buddy: A hard day's night,139,Premium Library,Rock
We Can Work It Out,The Beatles,Beat Buddy: We Can Work It Out,106,Premium Library,Rock
Can't Buy Me Love,The Beatles,Beat Buddy: Can't Buy Me Love,172,Premium Library,Rock
I Feel Fine,The Beatles,Beat Buddy: I Feel Fine,90,Premium Library,Rock
Yesterday,The Beatles,Beat Buddy: Yesterday,97,Premium Library,Ballad
Twist And Shout,The Beatles,Beat Buddy: Twist And Shout,125,Premium Library,Rock
Help!,The Beatles,Beat Buddy: Help!,95,Premium Library,Rock
All You Need Is Love,The Beatles,Beat Buddy: All You Need Is Love,105,Premium Library,Rock
Love Me Do,The Beatles,Beat Buddy: Love Me Do,148,Premium Library,Rock
Ticket To Ride,The Beatles,Beat Buddy: Ticket To Ride,123,Premium Library,Rock
Please Please Me,The Beatles,Beat Buddy: Please Please Me,135,Premium Library,Rock
The Long And Winding Road,The Beatles,Beat Buddy: The Long And Winding Road,132,Premium Library,Ballad
Yellow Submarine,The Beatles,Beat Buddy: Yellow Submarine,111,Premium Library,Rock
Strawberry Fields Forever,The Beatles,Beat Buddy: Strawberry Fields Forever,98,Premium Library,Rock
P.S. I Love You,The Beatles,Beat Buddy: P.S. I Love You,134,Premium Library,Rock
And I Love Her,The Beatles,Beat Buddy: And I Love Her,113,Premium Library,Rock
I Saw Her Standing There,The Beatles,Beat Buddy: I Saw Her Standing There,160,Premium Library,Rock
Come Together,The Beatles,Beat Buddy: Come Together,165,Premium Library,Blues
Let It Be,The Beatles,Beat Buddy: Let It Be,143,Premium Library,Rock
Hey Jude,The Beatles,Beat Buddy: Hey Jude,147,Premium Library,Rock
Break On Through,The Doors,Beat Buddy: Break On Through,90,Premium Library,Rock
"Hello, I Love You",The Doors,"Beat Buddy: Hello, I Love You",118,Premium Library,Rock
L.A. Woman,The Doors,Beat Buddy: LA Woman,171,Premium Library,Blues
Light My Fire,The Doors,Beat Buddy: Light My Fire,125,Premium Library,Rock
Love Me Two Times,The Doors,Beat Buddy: Love Me Two Times,133,Premium Library,Rock
Peace Frog,The Doors,Beat Buddy: Peace Frog,113,Premium Library,Rock
People Are Strange,The Doors,Beat Buddy: People Are Strange,120,Premium Library,Rock
Riders On The Storm,The Doors,Beat Buddy: Riders On The Storm,104,Premium Library,Rock
Roadhouse Blues,The Doors,Beat Buddy: Roadhouse Blues,120,Premium Library,Blues
The Changeling,The Doors,Beat Buddy: The Changeling,118,Premium Library,Rock
Already Gone,The Eagles,Beat Buddy: Already Gone,146,Premium Library,Rock
Best Of My Love,The Eagles,Beat Buddy: Best Of My Love,90,Premium Library,Rock
Heartache Tonight,The Eagles,Beat Buddy: Heartache Tonight,113,Premium Library,Rock
Life In The Fast Lane,The Eagles,Beat Buddy: Life In The Fast Lane,110,Premium Library,Rock
Lying Eyes,The Eagles,Beat Buddy: Lying Eyes,133,Premium Library,Rock
New Kid In Town,The Eagles,Beat Buddy: New Kid In Town,107,Premium Library,Rock
One Of These Nights,The Eagles,Beat Buddy: One Of These Nights,110,Premium Library,Rock
Take It To The Limit,The Eagles,Beat Buddy: Take It To The Limit,91,Premium Library,Rock
The Long Run,The Eagles,Beat Buddy: The Long Run,99,Premium Library,Rock
Wasted Time,The Eagles,Beat Buddy: Wasted Time,58,Premium Library,Rock
Desperado,The Eagles,Beat Buddy: Desperado,60,Premium Library,Ballad
Hotel California,The Eagles,Beat Buddy: Hotel California,147,Premium Library,Rock
Peaceful Easy Feeling,The Eagles,Beat Buddy: Peaceful Easy Feeling,143,Premium Library,Rock
Take It Easy,The Eagles,Beat Buddy: Take It Easy,143,Premium Library,Rock
Tequila Sunrise,The Eagles,Beat Buddy: Tequila Sunrise,111,Premium Library,Rock
"De Do Do Do, De Da Da Da",The Police,"Beat Buddy: De Do Do Do, De Da Da Da",148,Premium Library,Rock
Don't Stand So Close To Me,The Police,Beat Buddy: Don't Stand So Close To Me,140,Premium Library,Rock
Every Breath You Take,The Police,Beat Buddy: Every Breath You Take,117,Premium Library,Rock
Every Little Thing She Does Is Magic,The Police,Beat Buddy: Every Little Thing She Does Is Magic,82,Premium Library,Rock
King Of Pain,The Police,Beat Buddy: King Of Pain,124,Premium Library,Rock
Message In A Bottle,The Police,Beat Buddy: Message In A Bottle,151,Premium Library,Rock
Roxanne,The Police,Beat Buddy: Roxanne,134,Premium Library,Rock
So Lonely,The Police,Beat Buddy: So Lonely,78,Premium Library,Rock
Synchronicity II,The Police,Beat Buddy: Synchronicity II,159,Premium Library,Rock
Wrapped Around Your Finger,The Police,Beat Buddy: Wrapped Around Your Finger,128,Premium Library,Rock
Angie,The Rolling Stones,Beat Buddy: Angie,136,Premium Library,Ballad
Everybody Needs Somebody To Love,The Rolling Stones,Beat Buddy: Everybody Needs Somebody To Love,178,Premium Library,Rock
Its All Over Now,The Rolling Stones,Beat Buddy: Its All Over Now,99,Premium Library,Blues
Jumpin' Jack Flash,The Rolling Stones,Beat Buddy: Jumpin' Jack Flash,137,Premium Library,Rock
Miss You,The Rolling Stones,Beat Buddy: Miss You,110,Premium Library,Funk
Mixed Emotions,The Rolling Stones,Beat Buddy: Mixed Emotions,137,Premium Library,Rock
Paint It Black,The Rolling Stones,Beat Buddy: Paint It Black,160,Premium Library,Rock
Ruby Tuesday,The Rolling Stones,Beat Buddy: Ruby Tuesday,105,Premium Library,Rock
Start Me Up,The Rolling Stones,Beat Buddy: Start Me Up,122,Premium Library,Rock
Sympathy For The Devil,The Rolling Stones,Beat Buddy: Sympathy For The Devil,116,Premium Library,Rock
Time Is On My Side,The Rolling Stones,Beat Buddy: Time Is On My Side,100,Premium Library,Rock
Wild Horses,The Rolling Stones,Beat Buddy: Wild Horses,71,Premium Library,Rock
