Song Title,Song Artist,Beat,BPM,Source,Genre
Bad Moon Rising,Creedence Clearwater Revival,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,170,Default Library,Rock
Band On The Run,Wings,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,130,Default Library,Rock
Banditos,Refreshments,Beat Buddy: Rock 11Beat Buddy Mini 2: Rock 11,160,Default Library,Rock
Basket Case,Green Day,Beat Buddy: Punk 1Beat Buddy Mini: Punk 1Beat Buddy Mini 2: Punk 1,172,Default Library,Rock
Best Of My Love,The Eagles,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,90,Default Library,Rock
Blue Bayou,Linda Ronstadt,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,95,Default Library,Rock
Boulevard Of Broken Dreams,Green Day,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,83,Default Library,Rock
Breakfast at Tiffany's,Deep Blue Something,Beat Buddy: Pop 6- 8thsBeat Buddy Mini: Pop 3Beat Buddy Mini 2: Pop 6- 8ths,110,Default Library,Rock
Brewing up a Storm,The Stunning,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,154,Default Library,Rock
Bring Me To Life,Evanescence,Beat Buddy: Rock 8Beat Buddy Mini: Rock 3Beat Buddy Mini 2: Rock 8,100,Default Library,Rock
Brokedown Palace,Grateful Dead,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,56,Default Library,Rock
Brown Eyed Girl,Van Morrison,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,150,Default Library,Rock
"Brown Sugar, Get Ready",Rolling Stones,Beat Buddy: Pop 9- 8thsBeat Buddy Mini 2: Pop 9- 8ths,126,Default Library,Rock
Budapest,George Ezra,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,128,Default Library,Rock
Can't You See,Marshall Tucker Band,Beat Buddy: Brushes 8- Str 8Beat Buddy Mini 2: Brushes 8- Str 8,80,Default Library,Rock
Candyman,Grateful Dead,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,117,Default Library,Rock
Chatahoochee,Alan Jackson,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,174,Default Library,Rock
Blister In The Sun,Violent Femmes,Beat Buddy: Pop 2- 16thsBeat Buddy Mini 2: Pop 2- 16ths,94,Default Library,Rock
China Girl,David Bowie,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,134,Default Library,Rock
Closing Time,Semisonic,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,92,Default Library,Rock
Collide,Howie Day,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,93,Default Library,Rock
Come As You Are,Nirvana,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,120,Default Library,Rock
Come On Get Higher,Matt Nathanson,Beat Buddy: Funk 1- str 16thsBeat Buddy Mini: Funk 1Beat Buddy Mini 2: Funk 1- str 16ths,90,Default Library,Rock
Comes a Time,Neil Young,Beat Buddy: PolkaBeat Buddy Mini: PolkaBeat Buddy Mini 2: Polka,79,Default Library,Rock
Copperhead Road,Steve Earle,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,84,Default Library,Rock
Counting Stars,One Republic,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,122,Default Library,Rock
Creep,Radiohead,Beat Buddy: Rock 4Beat Buddy Mini 2: Rock 4,90,Default Library,Rock
Come on Feel the Noise,Quiet Riot,Beat Buddy: Punk 1Beat Buddy Mini: Punk 1Beat Buddy Mini 2: Punk 1,172,Default Library,Rock
